,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
A_Ch_R1000,0.166624360850927,-0.0626003942860535,0.06802601803989478,0.004030645636313973,-0.02978787346511472,-0.06000124105625963,-0.08732455848274545,-0.0977265180981453,0.05152474361107732,-0.04033672562009814,0.0058219644335199446,-0.07454636236394174
A_Ch_R1250,0.16616694864598172,-0.0852682251021056,0.037050600142955116,-0.014377638327714378,-0.04983771035326693,-0.060235181785419804,-0.07140935897484417,-0.09689082286169477,0.0736400303645974,-0.036423076614383765,0.0291718207922127,-0.08623458479158397
A_Ch_R1500,0.16406942677448447,-0.09644247898133489,0.010436930009629027,-0.026298912871093278,-0.07724273896579012,-0.06515446416478901,-0.044577520031598566,-0.05950161172240214,0.08061404919698824,-0.033081276946531776,0.056166352840135395,-0.11174654478800372
M_CH_R2000,0.1630440100206767,0.014296907393638954,0.005529136804027283,-0.044852417064360606,0.20232634325514925,0.05973520916819808,-0.045781092617975805,-0.03359982711636678,0.09360867278268337,0.038137267473885794,-0.0028397958293249204,-0.01654890636045725
M_CH_R2500,0.16295700858130185,0.003577008265726602,0.0133300064526613,-0.03381971390674162,0.2131542121956077,0.04221259469949859,-0.04039811282619337,0.011149774277980789,0.04072640426415067,0.07262114352218785,-0.029811827425181348,0.010911144469618994
A_I_R750,0.16242487521955884,0.008831345947608489,-0.03892276864142603,-0.07263674246767493,-0.12911829995169288,0.033598363071689626,0.02938940032947118,-0.15930049121459025,-0.10234185659451787,-0.07778652182485449,0.03363183534161671,0.07393380501333129
M_CH_R3000,0.1617726489282714,-0.006095040786396102,0.02164513124576741,-0.0223076652670638,0.21904899644441475,0.026127206580001405,-0.03266368116012643,0.036737948163022616,0.00886552744421985,0.08584922841231984,-0.05054947690060904,0.028818035566734623
M_CH_R3500,0.16046645994575207,-0.011811264877041604,0.026339421488335502,-0.013951878167348358,0.22087415323216714,0.012320062534933415,-0.024676188481614236,0.0575102495341948,-0.0067211190546861595,0.09301358851993742,-0.06484078098842803,0.04771264821083743
M_CH_R4000,0.15955350940544455,-0.017122031389841377,0.0314499627844518,-0.007071769306387482,0.21668292517957974,-0.0045085866865269865,-0.019209038126666918,0.08094441542553973,-0.016259867558506936,0.09233818851820995,-0.07868189035306915,0.06372192608750105
M_CH_R4500,0.1591295520434602,-0.02216523987341211,0.03541297343777497,-0.005407086454470571,0.20705724418734348,-0.021639108190056967,-0.01696300141921498,0.10345581978343284,-0.024022327685197183,0.08803147896040936,-0.08771360614197608,0.07503635432671157
M_CH_R5000,0.15899896497307583,-0.026521920792046485,0.03866704453008802,-0.010175712667950837,0.19516375860984533,-0.03300720532916175,-0.017986031189229583,0.11972981827132552,-0.029605298950783836,0.09012581679056146,-0.09576101449955157,0.07958940095325859
A_Ch_R2000,0.15872485853007048,-0.11350863815499952,-0.00812415526147373,-0.030148965714903952,-0.10683083071486725,-0.09487116113952461,-0.0017108666052078495,0.018097159502371923,0.07013029698371095,-0.02582922366738235,0.06346685978026192,-0.09037290015018207
M_CH_R1500,0.15842400887279218,0.033178702799899165,0.013325473141725195,-0.05327774619215114,0.19511566444042897,0.08329913154291842,-0.06651578791758501,-0.07917765846101024,0.14189187352198737,0.019247299940232443,0.007039134241402886,-0.03706881404618417
A_Ch_R750,0.15629031151631734,-0.020783191957761522,0.11526867864881686,0.03446254871072564,-0.0021828588026591845,-0.05084553588869298,-0.10600642325085582,-0.10319445017482294,0.04317933447274437,-0.06303674698537456,-0.044027053363068114,-0.06851589576309011
A_I_R1000,0.15600486996377558,-0.007330843804523243,-0.10621122328790303,-0.10760322629311339,-0.11962056560405812,0.08811519024032223,0.005577189075859597,-0.08742963566261568,-0.04578801993138467,-0.03151263631089769,0.06255459348681773,0.004459130325656657
A_Ch_R2500,0.1545807163095833,-0.12510552579726889,-0.006844277206106239,-0.02819014713335451,-0.10665768681641373,-0.12682903879292598,0.011762559987005492,0.07507639405654905,0.05064474207979514,-0.03237955708706865,0.04897707424696174,-0.04472619483430673
M_CH_R1250,0.15384227037324266,0.044833248114828875,0.033623077360261204,-0.04683888458673121,0.1969911779041433,0.08733311581372684,-0.08141923525692907,-0.09528940479413757,0.1512033362647484,0.009390814596789074,0.007648221234938191,-0.045995043150311936
A_I_R1500,0.15172209532477132,-0.011854865029777619,-0.14373718760523904,-0.050395301573269345,-0.1295792707701787,0.07156931250886477,-0.011775353734133229,-0.03338686317899488,-0.006460371929803056,-0.022401339750042316,0.023220091913968826,0.0038782073236317167
A_Ch_R3000,0.1512120450367579,-0.13171425313431198,0.0018914219909726623,-0.02725949454971727,-0.09810367409777698,-0.14159700622981497,0.010034759107700119,0.11662637120072825,0.03241339610255897,-0.010876678677272402,0.026921575826422302,-0.0061518675900233835
M_CH_R1000,0.15092323465101548,0.059356039382828456,0.06036746393287276,-0.02749814359853561,0.18649462052128699,0.07350638606277217,-0.0740515145263134,-0.09201975305787391,0.14981541409689492,-0.01654879207423203,0.018488863932984045,-0.04781604904027453
A_I_R1250,0.15082870836202805,-0.008848870081800079,-0.13560145586367886,-0.08641008367359196,-0.11667358355567771,0.09996365674025746,-0.012396967552709456,-0.05750125482987044,-0.013441851735741434,-0.03981278120404422,0.04431724974459952,0.011986116176332544
A_Ch_R3500,0.14822535095772002,-0.1341109049136345,0.008007055520930046,-0.026297354537890727,-0.09062518858181695,-0.15027500433293112,0.010094235765509815,0.1422449215050398,0.022869138453910656,0.004111489035034347,0.013381170926044236,0.01920860549010761
A_I_R2500,0.1470046741615814,-0.06479184614374427,-0.14201092226476542,0.0769201327654888,-0.060397076602117176,0.08957066169907356,0.02090312750149253,-0.06317551223305527,-0.11997422716176377,0.012282135130106729,0.008737361912096892,0.0645018318544486
A_Ch_R4000,0.14672800229382812,-0.13281833234701146,0.013875090485265307,-0.025966901157111193,-0.0834252176205719,-0.16182295112190262,0.01307922031105908,0.16370673688854823,0.015383970178393033,0.0089123901164341,0.011890385113817105,0.033430358187448286
A_I_R500,0.14598882351229547,0.06166597793706896,0.07109805097821821,0.0037962823446632083,-0.1433497694269371,-0.049472953656255175,0.03165792013543331,-0.17603941312742877,-0.05879935343917077,-0.08481346002707914,-0.07967191385938167,0.10260278274462019
A_Ch_R4500,0.1458575701666332,-0.13061497650693396,0.01854158461038023,-0.027371693742868363,-0.07885127984746045,-0.16969696754427957,0.016065732093446687,0.18000147479786452,0.008933410802601205,0.013049674180229495,0.014584275384128905,0.03246028975108291
A_Ch_R5000,0.14479298604508065,-0.12950166078175943,0.022454725553572526,-0.03129920163469399,-0.0768334308692253,-0.1730722830273882,0.017979426545620996,0.18955148590682291,0.0036356817849655023,0.02048265051894375,0.018531254736988724,0.02481491317137495
A_I_R2000,0.14320441498758815,-0.0408579551303223,-0.15921842347241494,0.014376500006271643,-0.11331916135292718,0.09788681342600124,-0.012385915512652858,-0.06824872444491058,-0.06305548349689637,-0.0008638637101601229,0.05586439458534124,0.01708259593866967
M_CH_R750,0.1427171416363995,0.07965459927680836,0.10611504249618504,0.006650225948512802,0.15106929745986256,0.058694383457995034,-0.060845527576450155,-0.07270073150277138,0.1406265567364437,-0.05185596475156477,-0.02184581933218699,-0.040472835209222714
A_I_R3000,0.13689672585298998,-0.08933343975303544,-0.12984274863306228,0.13405729542157913,-0.008131973342858576,0.09637089079978778,0.03439704211815316,-0.07602627636218341,-0.13865778108842,0.02026934980524081,0.0038907175003118208,0.09251525313708944
A_Ch_R500,0.13571862163998763,0.027102890544185222,0.16804035066259185,0.06309358869806972,-0.030756145068443964,-0.026940603983162278,-0.10097326431108194,-0.07126024086365933,-0.016949532209691885,-0.059425246994583784,-0.08724064793925596,-0.1224881709621492
A_I_R5000,0.1346589438301182,-0.11586053755426814,-0.12229484566209986,0.1340445914501832,-0.02355153824053694,0.025675415320574123,0.06864022193767447,-0.06288609971869066,-0.11546500504646247,0.012545699898331382,0.01528583928381602,0.045176562775632326
A_I_R4500,0.13418871114068462,-0.10254413698648868,-0.1397377349751133,0.13269858044072178,-0.030886779496558468,0.045331033314549074,0.060993385749727604,-0.03690146798731627,-0.1074327026542464,-0.030132186046425927,0.019101933010143866,0.03774798302179327
M_CH_RN,0.13410917051748564,-0.048458426966710065,0.08092546331459982,-0.06802934494956044,0.054246307185796316,-0.09980992257335969,-0.09184442095367219,0.23012983948765467,-0.020325014985432543,0.06277310270215983,-0.07853101273781299,0.06335602016858521
A_I_R4000,0.13127078500281705,-0.09072213114969843,-0.14312503321703252,0.16246782105372554,-0.03209219085783082,0.06878501493188988,0.04210418191691725,-0.03223990586259467,-0.10491398281216766,-0.011836958173111868,0.009527459597352869,0.06554702389771438
A_I_R3500,0.1301775526030346,-0.09351067363195095,-0.13135738823598886,0.17591737455082782,-0.004294281913165027,0.08394238689610042,0.04319619214629567,-0.04789697793805584,-0.11575489729287683,-0.005274987885296731,-0.018233586664791513,0.07612803301315921
M_CH_R500,0.1256253895085523,0.1122961907870223,0.16107666947451588,0.053691132164586985,0.03279899282206531,0.030068555031505066,-0.03214953093050353,-0.0240476562826334,0.06905117766903307,-0.06776003841405807,-0.1190244998808217,-0.08566797777988246
A_Ch_RN,0.12062605538984136,-0.12987814786250992,0.043176989995690154,-0.02982971672405084,-0.04544589052487974,-0.17034928589074105,0.07685284438190934,0.19069075889575468,-0.052622215419003776,0.07931399511829348,0.11193947215697651,-0.014487721411947834
T_Ch_R500,0.10770431540283318,0.16678977817035445,0.0980536361214173,0.09509870056506847,-0.0027575462272353296,0.05654859655316433,0.07240122392146292,0.13512931100044862,-0.02077527240010741,-0.046187993138352056,0.050543116738842334,-0.1694492543042665
T_Ch_R750,0.10261104781237848,0.1948315540182193,0.04709602244149785,0.08241145505237207,0.07570365165622352,0.05036420332447956,0.10510363677637546,0.12250003847104086,-0.07352517277185079,-0.03958973429767944,0.1261827501956239,-0.12968976846418753
A_I_RN,0.09895728325552593,-0.1696484171543452,-0.09636942734366585,0.1038245288951584,0.03328388834494131,-0.048966864940759636,0.11736250001629017,-0.1455872925659159,-0.1142876156153658,0.116921195112038,0.04006484376037263,0.005225467001609339
A_I_R250,0.09573074366522219,0.06726589624527853,0.17802932796750184,0.11788769179891025,-0.14721751147752457,0.03660176015812083,0.12400426321287923,-0.07095619965767151,-0.04379639638518191,0.006685363918063056,-0.039910028647734866,-0.050643639256632685
T_Ch_R250,0.07859479986123369,0.1370355876284527,0.1645327058864015,0.10583589946512464,-0.1002304869149426,0.009924195625958032,0.10060658882041114,0.14651186887268128,0.024747516074449003,-0.03766648764679233,-0.028554803684100218,-0.13585737611123708
