,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
A_I_R1250,0.16643060485046723,0.010232904882711065,-0.06691983610542118,0.005174486237653929,-0.02648643668691916,0.15740449063215986,-0.018882058537584866,-0.13252158123190522,-0.024894941078634058,0.0008768186209297726,-0.05542002542098029
A_Ch_R2000,0.16561291509053744,-0.011084272560078979,-0.06738723424512211,-0.0753568989456497,0.09092897491941856,-0.020529840710786843,0.08561510863947697,-0.04932225664282739,0.0016689340538781489,0.022010995183928354,0.05123707058703369
A_I_R1000,0.16347114929965503,0.041073167203084536,-0.053564645540678066,-0.005478909963156982,-0.00013222337163114027,0.15093440538564876,-0.0375753583340801,-0.14658920883150212,-0.04212232470233263,-0.0069558674213484155,-0.09731136905688846
M_CH_R2000,0.16325582331517802,0.012742554076902354,0.03726293146730282,-0.045122285663195164,0.07263263684248085,-0.20260547399223774,0.007427768125679465,-0.06267899732382941,0.03288408578725423,-0.030522559406409647,-0.04832151126249212
A_Ch_R2500,0.16261336430263335,-0.04635186569289474,-0.07945764452857247,-0.05528582063806871,0.11007825840125696,0.02252460891995532,0.06346339417092592,-0.012102803240854203,-0.005255830702867697,0.05230422678781125,0.043855108528031275
A_I_R1500,0.16243284959700935,-0.030401161652610136,-0.07079301275676947,0.04539740311012428,-0.05275823996789845,0.13553380901965448,-0.029009191545001544,-0.13550074672713175,0.012372818700893939,0.0038115018977044925,-0.07303436362257305
M_CH_R2500,0.16234520353545312,-0.02571541492007613,0.02153316172661698,-0.04151477102255294,0.08963744972879882,-0.195796327510611,-0.018370740659318742,-0.04371430504070486,0.04537170057364444,0.0248301502714703,-0.04945467330818161
A_Ch_R1500,0.16200273689618522,0.030374938461470942,-0.05391923808182998,-0.09844451960374453,0.06432290480750623,-0.07130348477899154,0.09041560228291519,-0.055338716108334546,0.003276794775273903,-0.016598572035623222,0.057910215617765215
M_CH_R3000,0.16015927326495383,-0.053824931014247304,0.009766811721538766,-0.031044433358165282,0.10122229489364563,-0.1704309795854294,-0.0322907507394139,-0.022060642381318864,0.0596666775578618,0.06691740477495367,-0.04448336054880511
M_CH_R1500,0.1600654196642786,0.058332727271774173,0.04898248601418565,-0.046177313398686345,0.0502864139610711,-0.18133460027471432,0.04568093056186197,-0.07265652647853961,0.01775138748743083,-0.09017527337894142,-0.003343196541978917
A_Ch_R1250,0.15984511354958758,0.057302647693317804,-0.03326035821101289,-0.10230110240062658,0.04233271536081841,-0.09076582413317949,0.09095915855221047,-0.05648507112464568,0.009171875022564537,-0.05489599749060235,0.06503748265663589
A_I_R750,0.15865141184560297,0.08464210384050054,-0.05074711345095166,-0.012774477687178107,-0.015370740632387084,0.1090802830402705,-0.05976316318755109,-0.10766047917519388,-0.10289947323870224,0.015160179978879836,-0.11385058686175631
M_CH_R3500,0.1578589173156596,-0.07335742032296028,-0.00461634226430123,-0.017951243370766937,0.11401691980180124,-0.13830565726003546,-0.04428761013152236,-0.0016824021707651168,0.0662574244288526,0.1024555667330626,-0.036132212391245415
A_Ch_R3000,0.15719555000095337,-0.07432736757407724,-0.07979195180321826,-0.033703621144198975,0.12272283270314181,0.05125905472557351,0.0314677907230281,0.043141861681244495,-0.02113251168019196,0.061789393409996514,0.044220118508777516
